,file_path,file_name,file_size,width,height,channels,aspect_ratio,file_extension,bbps_class
0,/home/kvernet/.cache/kagglehub/datasets/waltervanhuissteden/the-nerthus-dataset/versions/1/nerthus-dataset-frames/nerthus-dataset-frames/0/bowel_2_score_0-0_00000089.jpg,bowel_2_score_0-0_00000089.jpg,60827,720,576,3,1.25,.jpg,0
1,/home/kvernet/.cache/kagglehub/datasets/waltervanhuissteden/the-nerthus-dataset/versions/1/nerthus-dataset-frames/nerthus-dataset-frames/0/bowel_1_score_0-1_00000032.jpg,bowel_1_score_0-1_00000032.jpg,43446,720,576,3,1.25,.jpg,0
2,/home/kvernet/.cache/kagglehub/datasets/waltervanhuissteden/the-nerthus-dataset/versions/1/nerthus-dataset-frames/nerthus-dataset-frames/0/bowel_2_score_0-1_00000125.jpg,bowel_2_score_0-1_00000125.jpg,89739,720,576,3,1.25,.jpg,0
3,/home/kvernet/.cache/kagglehub/datasets/waltervanhuissteden/the-nerthus-dataset/versions/1/nerthus-dataset-frames/nerthus-dataset-frames/0/bowel_1_score_0-1_00000095.jpg,bowel_1_score_0-1_00000095.jpg,51498,720,576,3,1.25,.jpg,0
4,/home/kvernet/.cache/kagglehub/datasets/waltervanhuissteden/the-nerthus-dataset/versions/1/nerthus-dataset-frames/nerthus-dataset-frames/0/bowel_1_score_0-1_00000089.jpg,bowel_1_score_0-1_00000089.jpg,35014,720,576,3,1.25,.jpg,0
5,/home/kvernet/.cache/kagglehub/datasets/waltervanhuissteden/the-nerthus-dataset/versions/1/nerthus-dataset-frames/nerthus-dataset-frames/0/bowel_1_score_0-0_00000009.jpg,bowel_1_score_0-0_00000009.jpg,45118,720,576,3,1.25,.jpg,0
6,/home/kvernet/.cache/kagglehub/datasets/waltervanhuissteden/the-nerthus-dataset/versions/1/nerthus-dataset-frames/nerthus-dataset-frames/0/bowel_1_score_0-1_00000092.jpg,bowel_1_score_0-1_00000092.jpg,34370,720,576,3,1.25,.jpg,0
7,/home/kvernet/.cache/kagglehub/datasets/waltervanhuissteden/the-nerthus-dataset/versions/1/nerthus-dataset-frames/nerthus-dataset-frames/0/bowel_2_score_0-0_00000104.jpg,bowel_2_score_0-0_00000104.jpg,63820,720,576,3,1.25,.jpg,0
8,/home/kvernet/.cache/kagglehub/datasets/waltervanhuissteden/the-nerthus-dataset/versions/1/nerthus-dataset-frames/nerthus-dataset-frames/0/bowel_1_score_0-0_00000020.jpg,bowel_1_score_0-0_00000020.jpg,66391,720,576,3,1.25,.jpg,0
9,/home/kvernet/.cache/kagglehub/datasets/waltervanhuissteden/the-nerthus-dataset/versions/1/nerthus-dataset-frames/nerthus-dataset-frames/0/bowel_1_score_0-0_00000048.jpg,bowel_1_score_0-0_00000048.jpg,71476,720,576,3,1.25,.jpg,0
10,/home/kvernet/.cache/kagglehub/datasets/waltervanhuissteden/the-nerthus-dataset/versions/1/nerthus-dataset-frames/nerthus-dataset-frames/0/bowel_1_score_0-1_00000001.jpg,bowel_1_score_0-1_00000001.jpg,71836,720,576,3,1.25,.jpg,0
11,/home/kvernet/.cache/kagglehub/datasets/waltervanhuissteden/the-nerthus-dataset/versions/1/nerthus-dataset-frames/nerthus-dataset-frames/0/bowel_2_score_0-0_00000053.jpg,bowel_2_score_0-0_00000053.jpg,78181,720,576,3,1.25,.jpg,0
12,/home/kvernet/.cache/kagglehub/datasets/waltervanhuissteden/the-nerthus-dataset/versions/1/nerthus-dataset-frames/nerthus-dataset-frames/0/bowel_1_score_0-1_00000084.jpg,bowel_1_score_0-1_00000084.jpg,32006,720,576,3,1.25,.jpg,0
13,/home/kvernet/.cache/kagglehub/datasets/waltervanhuissteden/the-nerthus-dataset/versions/1/nerthus-dataset-frames/nerthus-dataset-frames/0/bowel_2_score_0-0_00000021.jpg,bowel_2_score_0-0_00000021.jpg,63926,720,576,3,1.25,.jpg,0
14,/home/kvernet/.cache/kagglehub/datasets/waltervanhuissteden/the-nerthus-dataset/versions/1/nerthus-dataset-frames/nerthus-dataset-frames/0/bowel_2_score_0-1_00000082.jpg,bowel_2_score_0-1_00000082.jpg,93650,720,576,3,1.25,.jpg,0
15,/home/kvernet/.cache/kagglehub/datasets/waltervanhuissteden/the-nerthus-dataset/versions/1/nerthus-dataset-frames/nerthus-dataset-frames/0/bowel_2_score_0-1_00000099.jpg,bowel_2_score_0-1_00000099.jpg,75475,720,576,3,1.25,.jpg,0
16,/home/kvernet/.cache/kagglehub/datasets/waltervanhuissteden/the-nerthus-dataset/versions/1/nerthus-dataset-frames/nerthus-dataset-frames/0/bowel_2_score_0-1_00000088.jpg,bowel_2_score_0-1_00000088.jpg,81680,720,576,3,1.25,.jpg,0
17,/home/kvernet/.cache/kagglehub/datasets/waltervanhuissteden/the-nerthus-dataset/versions/1/nerthus-dataset-frames/nerthus-dataset-frames/0/bowel_2_score_0-2_00000004.jpg,bowel_2_score_0-2_00000004.jpg,87877,720,576,3,1.25,.jpg,0
18,/home/kvernet/.cache/kagglehub/datasets/waltervanhuissteden/the-nerthus-dataset/versions/1/nerthus-dataset-frames/nerthus-dataset-frames/0/bowel_2_score_0-1_00000047.jpg,bowel_2_score_0-1_00000047.jpg,69554,720,576,3,1.25,.jpg,0
19,/home/kvernet/.cache/kagglehub/datasets/waltervanhuissteden/the-nerthus-dataset/versions/1/nerthus-dataset-frames/nerthus-dataset-frames/0/bowel_1_score_0-0_00000022.jpg,bowel_1_score_0-0_00000022.jpg,74553,720,576,3,1.25,.jpg,0
20,/home/kvernet/.cache/kagglehub/datasets/waltervanhuissteden/the-nerthus-dataset/versions/1/nerthus-dataset-frames/nerthus-dataset-frames/0/bowel_2_score_0-1_00000013.jpg,bowel_2_score_0-1_00000013.jpg,72095,720,576,3,1.25,.jpg,0
21,/home/kvernet/.cache/kagglehub/datasets/waltervanhuissteden/the-nerthus-dataset/versions/1/nerthus-dataset-frames/nerthus-dataset-frames/0/bowel_1_score_0-1_00000097.jpg,bowel_1_score_0-1_00000097.jpg,50575,720,576,3,1.25,.jpg,0
22,/home/kvernet/.cache/kagglehub/datasets/waltervanhuissteden/the-nerthus-dataset/versions/1/nerthus-dataset-frames/nerthus-dataset-frames/0/bowel_1_score_0-0_00000100.jpg,bowel_1_score_0-0_00000100.jpg,77047,720,576,3,1.25,.jpg,0
23,/home/kvernet/.cache/kagglehub/datasets/waltervanhuissteden/the-nerthus-dataset/versions/1/nerthus-dataset-frames/nerthus-dataset-frames/0/bowel_2_score_0-0_00000017.jpg,bowel_2_score_0-0_00000017.jpg,84628,720,576,3,1.25,.jpg,0
24,/home/kvernet/.cache/kagglehub/datasets/waltervanhuissteden/the-nerthus-dataset/versions/1/nerthus-dataset-frames/nerthus-dataset-frames/0/bowel_2_score_0-0_00000054.jpg,bowel_2_score_0-0_00000054.jpg,76531,720,576,3,1.25,.jpg,0
